,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
111,0.89,0.542,10,-4.826,0,0.314,0.523,0.0,0.123,0.565,78.458,audio_features,0fABHG5a7RnqBlOKOwhWZD,spotify:track:0fABHG5a7RnqBlOKOwhWZD,https://api.spotify.com/v1/tracks/0fABHG5a7RnqBlOKOwhWZD,https://api.spotify.com/v1/audio-analysis/0fABHG5a7RnqBlOKOwhWZD,165293,4
112,0.816,0.577,1,-5.998,1,0.41,0.139,0.0,0.0827,0.459,171.028,audio_features,3sdYpdTTn4fdfu4cyisnt0,spotify:track:3sdYpdTTn4fdfu4cyisnt0,https://api.spotify.com/v1/tracks/3sdYpdTTn4fdfu4cyisnt0,https://api.spotify.com/v1/audio-analysis/3sdYpdTTn4fdfu4cyisnt0,148140,4
113,0.804,0.439,1,-9.605,1,0.365,0.357,0.0,0.162,0.329,150.039,audio_features,0SiBdjIbyZq5sDbc9vGAmu,spotify:track:0SiBdjIbyZq5sDbc9vGAmu,https://api.spotify.com/v1/tracks/0SiBdjIbyZq5sDbc9vGAmu,https://api.spotify.com/v1/audio-analysis/0SiBdjIbyZq5sDbc9vGAmu,167500,4
114,0.937,0.397,8,-9.414,1,0.418,0.0915,0.0,0.0919,0.603,128.561,audio_features,34h5d8SNbI0nnsJ9TNP7bv,spotify:track:34h5d8SNbI0nnsJ9TNP7bv,https://api.spotify.com/v1/tracks/34h5d8SNbI0nnsJ9TNP7bv,https://api.spotify.com/v1/audio-analysis/34h5d8SNbI0nnsJ9TNP7bv,75717,4
115,0.746,0.862,8,-6.11,1,0.0776,0.21,0.0363,0.225,0.604,122.011,audio_features,4qq73N1TKocRaYGQS23b9u,spotify:track:4qq73N1TKocRaYGQS23b9u,https://api.spotify.com/v1/tracks/4qq73N1TKocRaYGQS23b9u,https://api.spotify.com/v1/audio-analysis/4qq73N1TKocRaYGQS23b9u,246970,4
116,0.74,0.357,0,-9.921,1,0.0352,0.377,0.047,0.328,0.453,119.973,audio_features,1R8kvV2AgNPCA2Pp4Im1Ao,spotify:track:1R8kvV2AgNPCA2Pp4Im1Ao,https://api.spotify.com/v1/tracks/1R8kvV2AgNPCA2Pp4Im1Ao,https://api.spotify.com/v1/audio-analysis/1R8kvV2AgNPCA2Pp4Im1Ao,291318,4
117,0.707,0.234,7,-16.523,1,0.0864,0.96,0.861,0.124,0.611,78.036,audio_features,4MVk79dmYqi7HQs0bMgboy,spotify:track:4MVk79dmYqi7HQs0bMgboy,https://api.spotify.com/v1/tracks/4MVk79dmYqi7HQs0bMgboy,https://api.spotify.com/v1/audio-analysis/4MVk79dmYqi7HQs0bMgboy,60004,3
118,0.954,0.58,7,-8.924,1,0.367,0.347,1.87e-06,0.134,0.48,128.003,audio_features,0q97eZcYkeHy2buhS1O5Ir,spotify:track:0q97eZcYkeHy2buhS1O5Ir,https://api.spotify.com/v1/tracks/0q97eZcYkeHy2buhS1O5Ir,https://api.spotify.com/v1/audio-analysis/0q97eZcYkeHy2buhS1O5Ir,166635,4
119,0.861,0.22,1,-13.626,1,0.745,0.416,0.0,0.15,0.551,129.817,audio_features,0wc23hbQfO6pHyc600wFJq,spotify:track:0wc23hbQfO6pHyc600wFJq,https://api.spotify.com/v1/tracks/0wc23hbQfO6pHyc600wFJq,https://api.spotify.com/v1/audio-analysis/0wc23hbQfO6pHyc600wFJq,87693,4
120,0.925,0.337,1,-13.445,1,0.41,0.0135,0.0,0.065,0.529,91.478,audio_features,5k9CZnMvbTryKroi1tkp2S,spotify:track:5k9CZnMvbTryKroi1tkp2S,https://api.spotify.com/v1/tracks/5k9CZnMvbTryKroi1tkp2S,https://api.spotify.com/v1/audio-analysis/5k9CZnMvbTryKroi1tkp2S,124613,4
121,0.846,0.841,8,-6.952,1,0.11,0.00238,0.0,0.0484,0.65,135.045,audio_features,3sFOja0FKurzewYUvySXRT,spotify:track:3sFOja0FKurzewYUvySXRT,https://api.spotify.com/v1/tracks/3sFOja0FKurzewYUvySXRT,https://api.spotify.com/v1/audio-analysis/3sFOja0FKurzewYUvySXRT,214133,4
122,0.689,0.405,8,-12.525,1,0.171,0.733,4.8e-05,0.54,0.423,77.54,audio_features,58IHCvoCPfMNS0WrK7JnSg,spotify:track:58IHCvoCPfMNS0WrK7JnSg,https://api.spotify.com/v1/tracks/58IHCvoCPfMNS0WrK7JnSg,https://api.spotify.com/v1/audio-analysis/58IHCvoCPfMNS0WrK7JnSg,102792,4
123,0.651,0.793,5,-5.288,1,0.0837,0.0383,0.022,0.178,0.261,146.07,audio_features,3V2PU0Bd7r8PjauFRDZlMv,spotify:track:3V2PU0Bd7r8PjauFRDZlMv,https://api.spotify.com/v1/tracks/3V2PU0Bd7r8PjauFRDZlMv,https://api.spotify.com/v1/audio-analysis/3V2PU0Bd7r8PjauFRDZlMv,241711,4
124,0.734,0.765,5,-6.047,1,0.0571,0.243,0.0,0.101,0.512,156.04,audio_features,1F1QmI8TMHir9SUFrooq5F,spotify:track:1F1QmI8TMHir9SUFrooq5F,https://api.spotify.com/v1/tracks/1F1QmI8TMHir9SUFrooq5F,https://api.spotify.com/v1/audio-analysis/1F1QmI8TMHir9SUFrooq5F,215385,4
125,0.474,0.948,3,-2.592,1,0.122,0.0223,0.0,0.43,0.611,146.46,audio_features,78ML3F5Lz3KiNkpnFAaR3q,spotify:track:78ML3F5Lz3KiNkpnFAaR3q,https://api.spotify.com/v1/tracks/78ML3F5Lz3KiNkpnFAaR3q,https://api.spotify.com/v1/audio-analysis/78ML3F5Lz3KiNkpnFAaR3q,195373,4
126,0.76,0.516,0,-10.881,1,0.0694,0.000192,0.904,0.109,0.829,148.272,audio_features,4BdkP4XroiuVvfRqyO68wc,spotify:track:4BdkP4XroiuVvfRqyO68wc,https://api.spotify.com/v1/tracks/4BdkP4XroiuVvfRqyO68wc,https://api.spotify.com/v1/audio-analysis/4BdkP4XroiuVvfRqyO68wc,96968,4
127,0.715,0.55,10,-10.293,0,0.425,0.651,0.000292,0.172,0.824,116.669,audio_features,10iTEeb8hoM5jBGh0OxBOO,spotify:track:10iTEeb8hoM5jBGh0OxBOO,https://api.spotify.com/v1/tracks/10iTEeb8hoM5jBGh0OxBOO,https://api.spotify.com/v1/audio-analysis/10iTEeb8hoM5jBGh0OxBOO,141663,4
